TeamName,TeamMatchesPlayed,TeamWins,TeamDraws,TeamLosses,TeamGoalsScored,TeamGoalsAgainst,TeamGoalDifference,PlayerName,PlayerGoals,PlayerAssists,PlayerShotsOnTarget,PlayerShotsOnGoal,PlayerHeadedAttempts
South Africa,4,1,1,2,2,4,-2,South Africa Player 1,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 2,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 3,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 4,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 5,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 6,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 7,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 8,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 9,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 10,0,0,0,0,0
South Africa,4,1,1,2,2,4,-2,South Africa Player 11,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 1,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 2,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 3,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 4,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 5,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 6,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 7,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 8,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 9,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 10,0,0,0,0,0
Brazil,4,3,1,0,9,2,7,Brazil Player 11,0,0,0,0,0
