PlayerName,TeamName,Position,Goals,Assists,ShotsOnTarget,ShotsOnGoal,HeadedAttempts,ContributionScore
South Africa Player 1,South Africa,GK,0,0,0,0,0,0.0
South Africa Player 2,South Africa,DEF,0,0,0,0,0,0.0
South Africa Player 3,South Africa,DEF,0,0,0,0,0,0.0
South Africa Player 4,South Africa,DEF,0,0,0,0,0,0.0
South Africa Player 5,South Africa,DEF,0,0,0,0,0,0.0
South Africa Player 6,South Africa,MID,0,0,0,0,0,0.0
South Africa Player 7,South Africa,MID,0,0,0,0,0,0.0
South Africa Player 8,South Africa,MID,0,0,0,0,0,0.0
South Africa Player 9,South Africa,FWD,0,0,0,0,0,0.0
South Africa Player 10,South Africa,FWD,0,0,0,0,0,0.0
South Africa Player 11,South Africa,FWD,0,0,0,0,0,0.0
Brazil Player 1,Brazil,GK,0,0,0,0,0,0.0
Brazil Player 2,Brazil,DEF,0,0,0,0,0,0.0
Brazil Player 3,Brazil,DEF,0,0,0,0,0,0.0
Brazil Player 4,Brazil,DEF,0,0,0,0,0,0.0
Brazil Player 5,Brazil,DEF,0,0,0,0,0,0.0
Brazil Player 6,Brazil,MID,0,0,0,0,0,0.0
Brazil Player 7,Brazil,MID,0,0,0,0,0,0.0
Brazil Player 8,Brazil,MID,0,0,0,0,0,0.0
Brazil Player 9,Brazil,FWD,0,0,0,0,0,0.0
Brazil Player 10,Brazil,FWD,0,0,0,0,0,0.0
Brazil Player 11,Brazil,FWD,0,0,0,0,0,0.0
