TeamName,TeamMatchesPlayed,TeamWins,TeamDraws,TeamLosses,TeamGoalsScored,TeamGoalsAgainst,TeamGoalDifference,PlayerName,PlayerGoals,PlayerAssists,PlayerShotsOnTarget,PlayerShotsOnGoal,PlayerHeadedAttempts
Argentina,3,3,0,0,8,1,7,Argentina Player 1,1,0,2,1,0
Argentina,3,3,0,0,8,1,7,Argentina Player 2,1,0,2,1,1
Argentina,3,3,0,0,8,1,7,Argentina Player 3,1,0,2,1,1
Argentina,3,3,0,0,8,1,7,Argentina Player 4,1,0,2,1,1
Argentina,3,3,0,0,8,1,7,Argentina Player 5,1,0,2,1,1
Argentina,3,3,0,0,8,1,7,Argentina Player 6,1,0,2,1,0
Argentina,3,3,0,0,8,1,7,Argentina Player 7,1,0,2,1,0
Argentina,3,3,0,0,8,1,7,Argentina Player 8,1,0,2,1,0
Argentina,3,3,0,0,8,1,7,Argentina Player 9,1,0,2,1,1
Argentina,3,3,0,0,8,1,7,Argentina Player 10,1,0,2,1,1
Argentina,3,3,0,0,8,1,7,Argentina Player 11,1,0,2,1,1
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 1,1,0,2,1,0
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 2,1,0,2,1,1
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 3,1,0,2,1,1
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 4,1,0,2,1,1
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 5,1,0,2,1,1
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 6,1,0,2,1,0
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 7,1,0,2,1,0
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 8,1,0,2,1,0
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 9,1,0,2,1,1
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 10,1,0,2,1,1
Cape Verde,3,0,3,0,2,2,0,Cape Verde Player 11,1,0,2,1,1
